trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
121,False,"{'a': 0.005, 'e': 0.5460744266397094}",20,6,-43.608883771120276,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
122,False,"{'a': 0.005, 'e': 0.5433508690744998}",25,0,-108.366053819358,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 2}",0
123,False,"{'a': 0.005, 'e': 0.5406408953093166}",20,10,-5.423829847244801,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
124,False,"{'a': 0.005, 'e': 0.5379444375946745}",30,10,-90.83549074673641,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",1
125,False,"{'a': 0.005, 'e': 0.5352614285189903}",30,13,-41.37233274007573,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 1}",1
126,False,"{'a': 0.005, 'e': 0.5325918010068972}",25,0,-34.82352681298664,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 0}",0
127,False,"{'a': 0.005, 'e': 0.5299354883175685}",25,0,-57.250667090015305,"{0: 21, 1: 0, 2: 2, 3: 1, 4: 1}",0
128,False,"{'a': 0.005, 'e': 0.5272924240430485}",30,7,-43.48069042480852,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 1}",1
129,False,"{'a': 0.005, 'e': 0.5246625421065929}",25,0,-70.11126167859128,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
130,False,"{'a': 0.005, 'e': 0.522045776761016}",20,10,18.611337866006608,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.005, 'e': 0.5194420625870482}",20,0,-51.96894827054112,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
132,False,"{'a': 0.005, 'e': 0.5168513344916992}",25,6,0.6228981577172794,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 0}",1
133,False,"{'a': 0.005, 'e': 0.5142735277066319}",20,0,-104.43293235616235,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 3}",0
134,False,"{'a': 0.005, 'e': 0.5117085777865424}",20,0,-23.802710890213916,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
135,False,"{'a': 0.005, 'e': 0.5091564206075492}",30,0,-102.10312270069656,"{0: 25, 1: 0, 2: 2, 3: 0, 4: 3}",0
